Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma
320,227.220158,0.000000,0.000000,0,0
321,227.694971,0.000000,0.000000,0,0
322,228.177562,0.000000,0.000000,0,0
323,227.758644,0.000000,0.000000,0,0
324,228.254244,0.000000,0.000000,0,0
325,227.844245,0.000000,0.000000,0,0
326,228.352797,0.000000,0.000000,0,0
327,227.951749,0.000000,0.000000,0,0
328,228.473193,0.000000,0.000000,0,0
329,228.081126,0.000000,0.000000,0,0
330,227.692775,0.000000,0.000000,0,0
331,228.232338,0.000000,0.000000,0,0
332,227.853023,0.000000,0.000000,0,0
333,227.477471,0.000000,0.000000,0,0
334,227.105702,0.000000,0.000000,0,0
335,226.737734,0.000000,0.000000,0,0
336,227.305961,0.000000,0.000000,0,0
337,228.238910,0.000000,0.000000,0,0
338,229.172424,0.000000,0.000000,0,0
339,230.106497,0.000000,0.000000,0,0
340,231.041122,0.000000,0.000000,0,0
341,231.976292,0.000000,0.000000,0,0
342,232.912001,0.000000,0.000000,0,0
343,233.848241,0.000000,0.000000,0,0
344,234.437625,0.000000,0.000000,0,0
345,235.034040,0.000000,0.000000,0,0
346,235.637433,0.000000,0.000000,0,0
347,236.247751,0.000000,0.000000,0,0
348,235.919478,0.000000,0.000000,0,0
349,236.541751,0.000000,0.000000,0,0
350,236.222353,0.000000,0.000000,0,0
351,236.856497,0.000000,0.000000,0,0
352,236.545979,0.000000,0.000000,0,0
353,236.239285,0.000000,0.000000,0,0
354,235.936432,0.000000,0.000000,0,0
355,235.637433,0.000000,0.000000,0,0
356,235.342304,0.000000,0.000000,0,0
357,235.051058,0.000000,0.000000,0,0
358,234.763711,0.000000,0.000000,0,0
359,234.480276,0.000000,0.000000,0,0
360,234.200769,0.000000,0.000000,0,0
361,233.925202,0.000000,0.000000,0,0
362,233.653590,0.000000,0.000000,0,0
363,233.385946,0.000000,0.000000,0,0
364,233.122286,0.000000,0.000000,0,0
365,232.862620,0.000000,0.000000,0,0
366,232.606965,0.000000,0.000000,0,0
367,232.355331,0.000000,0.000000,0,0
368,232.107734,0.000000,0.000000,0,0
369,231.864184,0.000000,0.000000,0,0
370,231.624696,0.000000,0.000000,0,0
371,232.361787,0.000000,0.000000,0,0
372,233.334524,0.000000,0.000000,0,0
373,234.307490,0.000000,0.000000,0,0
374,235.280683,0.000000,0.000000,0,0
375,236.254100,0.000000,0.000000,0,0
376,237.227739,0.000000,0.000000,0,0
377,237.976890,0.000000,0.000000,0,0
378,238.951878,0.000000,0.000000,0,0
